Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1855;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;45.02;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;195;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;11.14;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2470;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;48.35;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;465;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;35.29;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;3;Albanie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2347;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;3;Albanie;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;54.09;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;3;Albanie;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;1043;Fc;Donnée calculée
