Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FDI","L’investissement Direct étranger (IDE)","2","Afghanistan","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","53.39","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","202","Afrique du Sud","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","2008.360978","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","3","Albanie","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","1148.891224","X","Sources internationales sûres","INTRACEN UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","4","Algérie","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","1232.341924","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","79","Allemagne","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","60353.749958","X","Sources internationales sûres","OECD  UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","7","Angola","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","-7397.295409","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","258","Anguilla","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","53.534815","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","8","Antigua-et-Barbuda","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","112.936667","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","194","Arabie saoudite","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","1419","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","9","Argentine","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","11516.861","X","Sources internationales sûres","INTRACEN UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","1","Arménie","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","250.935","X","Sources internationales sûres","INTRACEN UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","22","Aruba","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","162.458101","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","10","Australie","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","45303.350808","X","Sources internationales sûres","OECD  UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","11","Autriche","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","14953.061985","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","52","Azerbaïdjan","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","2867","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","12","Bahamas","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","901.448","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","13","Bahreïn","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","1426.06383","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","16","Bangladesh","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","2151.56","X","Sources internationales sûres","INTRACEN UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","14","Barbade","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","206.157363","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","57","Bélarus","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","1278.5","X","Sources internationales sûres","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","255","Belgique","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","5159.227754","X","Sources internationales sûres","OECD  UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","23","Belize","6110","Valeur US $","23082","IED - entrées totales","2017","2017","millions","24.4945","X","Sources internationales sûres","UNCTAD"
