Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;28;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;57;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1665;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;2118;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;13;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;3;Albanie;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;33;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;297;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;4;Algérie;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;304;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1514;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1492;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;27;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;7;Angola;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;304;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;8;Antigua-et-Barbuda;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;8;Antigua-et-Barbuda;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;5;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;194;Arabie saoudite;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;540;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;194;Arabie saoudite;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;1259;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;9;Argentine;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;2162;Im;Données de la FAO basées sur une méthodologie d'imputation
